artist,title,ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Killstation,Exsanguination,1XKlzwkRZmyrz2OjVqNIyl,0.608,0.662,1,-8.474,1,0.0338,0.0246,7.85e-06,0.0409,0.0637,117.031,audio_features,1XKlzwkRZmyrz2OjVqNIyl,spotify:track:1XKlzwkRZmyrz2OjVqNIyl,https://api.spotify.com/v1/tracks/1XKlzwkRZmyrz2OjVqNIyl,https://api.spotify.com/v1/audio-analysis/1XKlzwkRZmyrz2OjVqNIyl,98482,4
Killstation,Mutiny,78SOPBLZeBjDQ9NVTePOPE,0.7829999999999999,0.684,5,-7.435,1,0.0358,0.00873,0.000548,0.222,0.173,141.037,audio_features,78SOPBLZeBjDQ9NVTePOPE,spotify:track:78SOPBLZeBjDQ9NVTePOPE,https://api.spotify.com/v1/tracks/78SOPBLZeBjDQ9NVTePOPE,https://api.spotify.com/v1/audio-analysis/78SOPBLZeBjDQ9NVTePOPE,117447,4
Killstation,Centipede,1NJel5c5LSc9Ac7UAeoJtp,0.6679999999999999,0.479,10,-7.321000000000001,0,0.0436,0.0612,0.408,0.12,0.102,162.12,audio_features,1NJel5c5LSc9Ac7UAeoJtp,spotify:track:1NJel5c5LSc9Ac7UAeoJtp,https://api.spotify.com/v1/tracks/1NJel5c5LSc9Ac7UAeoJtp,https://api.spotify.com/v1/audio-analysis/1NJel5c5LSc9Ac7UAeoJtp,128888,4
IC3PEAK,Грустная сука,18hIrODUziu3KyUxeDKlcq,0.528,0.617,8,-6.122999999999999,1,0.0657,0.2019999999999999,0.153,0.146,0.0356,119.047,audio_features,18hIrODUziu3KyUxeDKlcq,spotify:track:18hIrODUziu3KyUxeDKlcq,https://api.spotify.com/v1/tracks/18hIrODUziu3KyUxeDKlcq,https://api.spotify.com/v1/audio-analysis/18hIrODUziu3KyUxeDKlcq,199664,4
IC3PEAK,This World Is Sick,04xhIz4DiBGDECn7kIFodv,0.7959999999999999,0.7559999999999999,8,-2.244,1,0.0572,0.0059,0.00679,0.128,0.0292,120.01,audio_features,04xhIz4DiBGDECn7kIFodv,spotify:track:04xhIz4DiBGDECn7kIFodv,https://api.spotify.com/v1/tracks/04xhIz4DiBGDECn7kIFodv,https://api.spotify.com/v1/audio-analysis/04xhIz4DiBGDECn7kIFodv,112000,4
IC3PEAK,Пламя,6Q1LtmZPFRGNZbH6VdarBQ,0.299,0.381,3,-6.9510000000000005,0,0.038,0.445,0.0023,0.0932,0.0392,136.46200000000002,audio_features,6Q1LtmZPFRGNZbH6VdarBQ,spotify:track:6Q1LtmZPFRGNZbH6VdarBQ,https://api.spotify.com/v1/tracks/6Q1LtmZPFRGNZbH6VdarBQ,https://api.spotify.com/v1/audio-analysis/6Q1LtmZPFRGNZbH6VdarBQ,234000,1
Auxxk,2:45,3uvKXKQxcmjPT7letWh3Pf,0.644,0.64,8,-7.877000000000001,1,0.0688,0.00329,0.0,0.146,0.175,217.888,audio_features,3uvKXKQxcmjPT7letWh3Pf,spotify:track:3uvKXKQxcmjPT7letWh3Pf,https://api.spotify.com/v1/tracks/3uvKXKQxcmjPT7letWh3Pf,https://api.spotify.com/v1/audio-analysis/3uvKXKQxcmjPT7letWh3Pf,125048,3
Auxxk,who is he,1K86gziny1mnNIisKBqzhH,0.473,0.843,1,-5.981,1,0.225,0.00345,2.53e-05,0.102,0.24,143.29399999999998,audio_features,1K86gziny1mnNIisKBqzhH,spotify:track:1K86gziny1mnNIisKBqzhH,https://api.spotify.com/v1/tracks/1K86gziny1mnNIisKBqzhH,https://api.spotify.com/v1/audio-analysis/1K86gziny1mnNIisKBqzhH,183536,4
Auxxk,Sleeping,7yvTs8trSYMtNNisA0nT73,0.471,0.618,10,-9.965,0,0.108,0.0219,0.00664,0.16,0.0392,110.337,audio_features,7yvTs8trSYMtNNisA0nT73,spotify:track:7yvTs8trSYMtNNisA0nT73,https://api.spotify.com/v1/tracks/7yvTs8trSYMtNNisA0nT73,https://api.spotify.com/v1/audio-analysis/7yvTs8trSYMtNNisA0nT73,125500,4
Auxxk,Timeless,3Pk6O7DndRfH1q6UFsCaWm,0.665,0.446,1,-14.845,1,0.172,0.069,1.88e-05,0.3229999999999999,0.1169999999999999,115.282,audio_features,3Pk6O7DndRfH1q6UFsCaWm,spotify:track:3Pk6O7DndRfH1q6UFsCaWm,https://api.spotify.com/v1/tracks/3Pk6O7DndRfH1q6UFsCaWm,https://api.spotify.com/v1/audio-analysis/3Pk6O7DndRfH1q6UFsCaWm,156048,4
